steps,best_pred_error_rate
250,"{0: 0.93, 1: 0.45, 2: 0.45, 3: 0.57, 4: 0.45}"
500,"{0: 0.96, 1: 0.41, 2: 0.44, 3: 0.48, 4: 0.44}"
750,"{0: 0.94, 1: 0.37, 2: 0.42, 3: 0.43, 4: 0.51}"
1000,"{0: 0.95, 1: 0.29, 2: 0.43, 3: 0.32, 4: 0.37}"
1250,"{0: 0.93, 1: 0.47, 2: 0.45, 3: 0.38, 4: 0.29}"
1500,"{0: 0.96, 1: 0.39, 2: 0.37, 3: 0.45, 4: 0.46}"
1750,"{0: 0.97, 1: 0.37, 2: 0.37, 3: 0.37, 4: 0.31}"
2000,"{0: 0.97, 1: 0.39, 2: 0.38, 3: 0.35, 4: 0.39}"
2250,"{0: 0.95, 1: 0.43, 2: 0.35, 3: 0.4, 4: 0.35}"
2500,"{0: 0.93, 1: 0.45, 2: 0.38, 3: 0.36, 4: 0.38}"
2750,"{0: 0.97, 1: 0.36, 2: 0.3, 3: 0.29, 4: 0.34}"
3000,"{0: 0.95, 1: 0.41, 2: 0.36, 3: 0.33, 4: 0.33}"
3250,"{0: 0.99, 1: 0.41, 2: 0.35, 3: 0.34, 4: 0.31}"
3500,"{0: 0.91, 1: 0.5, 2: 0.41, 3: 0.39, 4: 0.36}"
3750,"{0: 0.94, 1: 0.36, 2: 0.38, 3: 0.36, 4: 0.29}"
4000,"{0: 0.97, 1: 0.4, 2: 0.32, 3: 0.47, 4: 0.32}"
4250,"{0: 0.94, 1: 0.3, 2: 0.38, 3: 0.34, 4: 0.38}"
4500,"{0: 0.91, 1: 0.37, 2: 0.33, 3: 0.38, 4: 0.37}"
4750,"{0: 0.9, 1: 0.41, 2: 0.42, 3: 0.35, 4: 0.32}"
5000,"{0: 0.95, 1: 0.37, 2: 0.34, 3: 0.31, 4: 0.38}"
5250,"{0: 0.99, 1: 0.32, 2: 0.28, 3: 0.36, 4: 0.32}"
5500,"{0: 0.98, 1: 0.37, 2: 0.43, 3: 0.3, 4: 0.38}"
5750,"{0: 0.94, 1: 0.55, 2: 0.42, 3: 0.32, 4: 0.27}"
6000,"{0: 0.94, 1: 0.4, 2: 0.28, 3: 0.35, 4: 0.33}"
6250,"{0: 0.96, 1: 0.43, 2: 0.36, 3: 0.24, 4: 0.39}"
6500,"{0: 0.94, 1: 0.46, 2: 0.35, 3: 0.35, 4: 0.39}"
6750,"{0: 0.93, 1: 0.45, 2: 0.39, 3: 0.23, 4: 0.33}"
7000,"{0: 0.96, 1: 0.31, 2: 0.31, 3: 0.31, 4: 0.32}"
7250,"{0: 0.95, 1: 0.39, 2: 0.32, 3: 0.4, 4: 0.34}"
7500,"{0: 0.92, 1: 0.32, 2: 0.31, 3: 0.37, 4: 0.28}"
7750,"{0: 0.94, 1: 0.4, 2: 0.31, 3: 0.28, 4: 0.3}"
8000,"{0: 0.94, 1: 0.35, 2: 0.32, 3: 0.37, 4: 0.29}"
8250,"{0: 0.92, 1: 0.42, 2: 0.25, 3: 0.46, 4: 0.27}"
8500,"{0: 0.96, 1: 0.4, 2: 0.38, 3: 0.31, 4: 0.29}"
8750,"{0: 0.97, 1: 0.41, 2: 0.34, 3: 0.31, 4: 0.36}"
9000,"{0: 0.94, 1: 0.37, 2: 0.36, 3: 0.31, 4: 0.3}"
9250,"{0: 0.99, 1: 0.53, 2: 0.39, 3: 0.37, 4: 0.27}"
9500,"{0: 0.92, 1: 0.37, 2: 0.27, 3: 0.35, 4: 0.3}"
9750,"{0: 0.92, 1: 0.32, 2: 0.29, 3: 0.36, 4: 0.28}"
10000,"{0: 0.97, 1: 0.39, 2: 0.27, 3: 0.32, 4: 0.28}"
10250,"{0: 0.95, 1: 0.47, 2: 0.36, 3: 0.3, 4: 0.32}"
10500,"{0: 0.94, 1: 0.48, 2: 0.27, 3: 0.38, 4: 0.33}"
10750,"{0: 0.97, 1: 0.45, 2: 0.34, 3: 0.36, 4: 0.28}"
11000,"{0: 0.95, 1: 0.4, 2: 0.34, 3: 0.34, 4: 0.29}"
11250,"{0: 0.91, 1: 0.42, 2: 0.27, 3: 0.28, 4: 0.31}"
11500,"{0: 0.95, 1: 0.47, 2: 0.27, 3: 0.37, 4: 0.29}"
11750,"{0: 0.93, 1: 0.4, 2: 0.28, 3: 0.32, 4: 0.33}"
12000,"{0: 0.95, 1: 0.5, 2: 0.31, 3: 0.35, 4: 0.31}"
12250,"{0: 0.95, 1: 0.4, 2: 0.35, 3: 0.4, 4: 0.35}"
12500,"{0: 0.95, 1: 0.45, 2: 0.33, 3: 0.28, 4: 0.28}"
12750,"{0: 0.97, 1: 0.36, 2: 0.34, 3: 0.31, 4: 0.3}"
13000,"{0: 0.97, 1: 0.3, 2: 0.24, 3: 0.36, 4: 0.3}"
13250,"{0: 0.98, 1: 0.42, 2: 0.25, 3: 0.34, 4: 0.3}"
13500,"{0: 0.94, 1: 0.49, 2: 0.32, 3: 0.22, 4: 0.23}"
13750,"{0: 0.94, 1: 0.47, 2: 0.29, 3: 0.25, 4: 0.34}"
14000,"{0: 0.95, 1: 0.44, 2: 0.29, 3: 0.28, 4: 0.35}"
14250,"{0: 0.92, 1: 0.39, 2: 0.28, 3: 0.31, 4: 0.31}"
14500,"{0: 0.95, 1: 0.47, 2: 0.38, 3: 0.39, 4: 0.28}"
