steps,best_pred_error_rate
250,"{0: 0.93, 1: 0.47, 2: 0.56, 3: 0.39, 4: 0.44}"
500,"{0: 0.97, 1: 0.42, 2: 0.43, 3: 0.45, 4: 0.46}"
750,"{0: 0.94, 1: 0.42, 2: 0.36, 3: 0.36, 4: 0.38}"
1000,"{0: 0.96, 1: 0.45, 2: 0.32, 3: 0.5, 4: 0.4}"
1250,"{0: 0.94, 1: 0.31, 2: 0.43, 3: 0.35, 4: 0.39}"
1500,"{0: 0.96, 1: 0.44, 2: 0.41, 3: 0.41, 4: 0.37}"
1750,"{0: 0.98, 1: 0.39, 2: 0.46, 3: 0.45, 4: 0.27}"
2000,"{0: 0.92, 1: 0.38, 2: 0.39, 3: 0.43, 4: 0.45}"
2250,"{0: 0.92, 1: 0.32, 2: 0.41, 3: 0.39, 4: 0.39}"
2500,"{0: 0.94, 1: 0.33, 2: 0.37, 3: 0.32, 4: 0.3}"
2750,"{0: 0.96, 1: 0.36, 2: 0.36, 3: 0.31, 4: 0.34}"
3000,"{0: 0.96, 1: 0.36, 2: 0.41, 3: 0.46, 4: 0.42}"
3250,"{0: 0.97, 1: 0.32, 2: 0.46, 3: 0.49, 4: 0.4}"
3500,"{0: 0.98, 1: 0.33, 2: 0.42, 3: 0.42, 4: 0.41}"
3750,"{0: 0.96, 1: 0.39, 2: 0.35, 3: 0.33, 4: 0.37}"
4000,"{0: 0.99, 1: 0.33, 2: 0.37, 3: 0.33, 4: 0.37}"
4250,"{0: 0.93, 1: 0.44, 2: 0.49, 3: 0.35, 4: 0.44}"
4500,"{0: 0.98, 1: 0.43, 2: 0.38, 3: 0.43, 4: 0.38}"
4750,"{0: 0.94, 1: 0.43, 2: 0.36, 3: 0.38, 4: 0.38}"
5000,"{0: 0.98, 1: 0.42, 2: 0.36, 3: 0.38, 4: 0.3}"
5250,"{0: 0.94, 1: 0.34, 2: 0.36, 3: 0.38, 4: 0.42}"
5500,"{0: 0.96, 1: 0.38, 2: 0.35, 3: 0.41, 4: 0.35}"
5750,"{0: 0.96, 1: 0.34, 2: 0.36, 3: 0.41, 4: 0.39}"
6000,"{0: 0.97, 1: 0.39, 2: 0.48, 3: 0.37, 4: 0.3}"
6250,"{0: 0.97, 1: 0.39, 2: 0.35, 3: 0.33, 4: 0.41}"
6500,"{0: 0.93, 1: 0.39, 2: 0.37, 3: 0.49, 4: 0.47}"
6750,"{0: 0.99, 1: 0.32, 2: 0.38, 3: 0.38, 4: 0.43}"
7000,"{0: 0.95, 1: 0.42, 2: 0.32, 3: 0.37, 4: 0.4}"
7250,"{0: 0.88, 1: 0.27, 2: 0.37, 3: 0.31, 4: 0.37}"
7500,"{0: 0.94, 1: 0.32, 2: 0.43, 3: 0.4, 4: 0.36}"
7750,"{0: 0.96, 1: 0.39, 2: 0.38, 3: 0.38, 4: 0.32}"
8000,"{0: 0.97, 1: 0.4, 2: 0.42, 3: 0.39, 4: 0.35}"
8250,"{0: 0.96, 1: 0.47, 2: 0.4, 3: 0.4, 4: 0.37}"
8500,"{0: 0.93, 1: 0.32, 2: 0.4, 3: 0.31, 4: 0.43}"
8750,"{0: 0.92, 1: 0.33, 2: 0.41, 3: 0.42, 4: 0.44}"
9000,"{0: 0.98, 1: 0.35, 2: 0.34, 3: 0.34, 4: 0.37}"
9250,"{0: 0.9, 1: 0.42, 2: 0.5, 3: 0.41, 4: 0.41}"
9500,"{0: 0.97, 1: 0.31, 2: 0.34, 3: 0.41, 4: 0.44}"
9750,"{0: 0.96, 1: 0.38, 2: 0.46, 3: 0.39, 4: 0.39}"
10000,"{0: 0.95, 1: 0.43, 2: 0.42, 3: 0.42, 4: 0.44}"
10250,"{0: 0.96, 1: 0.44, 2: 0.36, 3: 0.42, 4: 0.41}"
10500,"{0: 0.97, 1: 0.47, 2: 0.36, 3: 0.44, 4: 0.41}"
10750,"{0: 0.9, 1: 0.38, 2: 0.34, 3: 0.4, 4: 0.39}"
